name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Bottled water, flavoured, without sugar and with artificial sweeteners",86,280,86,0,67,0,0,0,0,12,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soft drink, carbonated, without fruit juice, reduced sugar",0,6550,0,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar and artificial sweetener(s)",0,7000,0,7000,0,0,0,0,0,7.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemonade, without sugar, with artificial sweetener(s)",67,100,0,82,0,0,0,0,0,22,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cola, with sugar and artificial sweetener(s)",9.3,6650,3.3,6650,3.3,0,0,0,0,11,0,0,0,0,0,17,10,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemonade with a flavoured syrup,75,10600,0,10600,69,0,0,0,0,21,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, carbonated (fruit juice content unknown), with sugar",68,11200,30,9910,0.42,0,0,0,0,32,4.63,0.0065,0.025,2.61,0.0043,1,26.5,13.2,0.014,0,0.015,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar",81,9970,51,9740,5,0,0,0,0,25,0,0,0,2,0,0,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syrup (mint, strawberries flavouredetc.), with sugar diluted in water",55,7700,0,7700,0,0,0,0,0,12,7.55,0.004,0.025,2.71,0.001,0.5,5.06,4.94,0.01,0,0.002,0,0,1.3,0.001,0.0011,0.0071,0.0033,0.0025,0.00151,0
"Cola, without sugar and with artificial sweetener(s)",81,110,53,110,3,0,0,0,0,24,2.26,0.0068,0.065,2.38,0.0012,10,6,9.88,0.016,0,0,0,0,0,0.005,0.023,0,0,0,0,0
"Still soft drink with tea extract, sugar and sweetener(s) content (average)",28,6180,9.1,5970,0,0,0,0,0,61,1.82,0.0025,0.009,1.3,0.066,0,11.8,24.3,0.013,0,0,0,0,0,0,0,0,0,0,0,0
"Cola, sugar and sweetener(s) content (average)",89,7310,59,7270,0.88,0,0,0,0,19,2.01,0.005,0.096,2.4,0.0006,10,3.2,7.6,0.0081,0,0,0,0,0,0.0014,0.0066,0,0,0,0,0
"Still soft drink with tea extract, flavoured, without sugar and with artificial sweeteners",14,340,0,320,0,0,0,0,0,99,0,0,0,2.3,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cola, with sugar and without caffeine",0,11000,0,11000,0,0,0,0,0,25,2,0,0.02,0,0,11,3,10,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Cola, without sugar, with artificial sweetener(s) and with caffeine",0,200,0,200,0,0,0,0,0,18,3,0.002,0.02,0,0,10,7,7,0.01,0,0,0,0,0,0.005,0.023,0,0,0,0,0
"Still soft drink with tea extract, flavoured, with sugar",33,6760,22,6520,0,0,0,0,0,58,2,0.0027,0.0099,1.2,0.072,0,12.9,22.8,0.015,0,0,0,0,0,0,0,0,0,0,0,0
"Soft drink, carbonated, without fruit juice, with sugar and artificial sweetener(s)",0,6800,0,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, still (10-50% of fruit juice), reduced sugar",14,5160,10,5060,0,0,0,0,0,19,0,0,0,0,0,0,1.6,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, still (fruit juice content unspecified), with sugar",100,11200,70,10600,0,0,0,0,0,1.8,13,0.02,0.1,4.6,0.007,5,48,0.7,0.06,0,0,0,0,4.33,0.043,0.01,0.9,0,0.055,0.01,0
"Fruit soft drink, still (10-50% of fruit juice), with sugar",130,10100,60,9760,41,0,0,0,0,67,2.5,0.1,0.1,2.4,0.1,10,20.1,28,0.1,0,0.002,0,0,12.8,0.01,0.01,0.04,0.04,0.04,0.0062,0
"Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and with artificial sweetener(s)",63,450,130,430,0,0,0,0,0,22,0,0,0,0,0,0,8.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonic drink, with sugar",68,8280,66,7380,50,0,0,0,0,14,7.48,0.0029,0.03,2.45,0.0011,0,1,6.83,0.017,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and artificial sweetener(s)",0,4170,0,4000,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Energy drink, with sugar",200,11900,0,11700,100,0,0,0,0,110,0,0,0,0,0,0,0,46.2,0,0,0,0,1.8,40,0.21,0.52,6.08,1.76,1.05,0,0.00063
"Energy drink, without sugar and with artificial sweetener(s)",73,950,100,450,0,0,0,0,0,170,0,0,0,0,0,0,0,68.3,0,0,0,0,0,0,0,0.65,8.2,2,1.64,0,0
Fruit juice with milk,700,11400,100,11000,0,0,0,0,0.5,29,57.4,0.1,0.2,8.1,0.1,19,68.4,11.4,0.1,0.002,0,0.0005,0.23,9,0.01,0.035,0.11,0.085,0.04,0.0092,0.00008
"Flavoured milk, with sugar, partially skimmed, fortified with vitamins and chemicals elements",2490,10400,740,9700,270,510,200,19,5.33,120,81.2,0.089,0.39,13.5,0.042,86.8,158,46.2,0.42,0.0218,0.0173,0.00058,0.046,0.43,0.041,0.17,0.16,0.56,0.026,0.00255,0.00023
"Chocolate flavoured milk, with sugar, partially skimmed, fortified with vitamins and chemicals elements",2750,10800,990,9450,1000,700,260,23,7.5,95,85,0.11,0.3,17,0.036,99,185,38.1,0.44,0.039,0.011,0.00064,0.042,0,0.041,0.17,0.15,0.44,0.027,0.0026,0.00021
"Strawberry flavoured milk, with sugar, partially skimmed, fortified with vitamins D",2170,10000,450,10000,0,290,120,14,2.7,140,76.6,0.06,1,9.3,0.05,72,125,56,0.4,0.002,0.05,0.0005,0.1,0.96,0.04,0.16,0.16,0.71,0.05,0.005,0.00025
Coconut milk or coconut cream,1770,3400,18400,2100,570,16500,880,200,0,75,18,0.22,3.3,46,0.77,96,220,30,0.56,0,0,0,0.7,1,0.022,0,0.64,0.15,0.028,0.014,0
Almond drink,600,1450,1500,1030,400,120,1060,290,0,0,7,0,0.1,0,0,15,25,0,0.1,0,0,0,0.69,0,0.01,0.01,0.1,0,0,0.001,0
"Soy drink, plain",3310,700,2070,400,600,260,390,990,0.7,61,12,0.11,0.41,16,0.19,50,110,24.3,0.29,0.021,0.002,0.0005,0.11,1,0.025,0.01,0.18,0.058,0.034,0.0261,0
"Soy drink, plain, fortified with calcium",3420,2180,2050,2180,1000,260,390,1000,0.7,97,98,0.09,0.45,13,0.17,81,86,38.8,0.24,0.021,0,0.00116,0,0,0.025,0.01,0.1,0.033,0.022,0.0223,0
"Soy drink, flavoured, with sugar",2960,7240,1920,6720,600,300,380,850,0.7,120,12,0.11,0.51,18,0.18,49,140,48.7,0.3,0.021,0.002,0.0005,0.11,0,0.025,0.01,0.1,0.068,0.021,0.0054,0.000014
"Soy drink, flavoured, enriched in calcium, w sugar or fruit concentrate",3010,2890,1800,2700,1100,280,360,1020,0,120,53,0.1,0.4,21,0.1,48,137,47.9,0.2,0,0.00891,0.00025,0.16,0.5,0.015,0.055,0.12,0.11,0.064,0.00731,0
"Oat-based drink, plain",460,7800,1100,5000,500,200,370,500,0,66,1,0.01,0.02,2.3,0.04,11,32,26.4,0.05,0,0.005,0.00025,0.37,0.5,0.029,0.01,0.1,0.079,0.01,0.00639,0
"Soy drink, w concentrated fruit juice",2300,9500,1000,5800,0,0,130,330,0.5,220,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not instant coffee, without sugar, ready-to-drink",120,0,20,0,0,2,15,1,0,4.6,4.22,0.039,0.028,12,0.056,2.5,119,1.85,0.034,0,0,0,0.01,0,0.014,0.043,0.45,0.13,0,0.00113,0
"Tea, brewed, without sugar",100,0,7,0,0,2,1,4,0,4.1,0.2,0.018,0.015,2,0.19,1,25.5,1.65,0.025,0,0,0,0,0,0,0.015,0.1,0.011,0,0.00495,0
"Infusion, brewed, without sugar",0,200,8,0,0,2,1,5,0,2.5,2,0.015,0.08,1,0.044,0,9,1,0.04,0,0,0,0,0,0.01,0.004,0,0.011,0,0.001,0
"Decaffeinated not instant coffee, without sugar, ready-to-drink",100,600,180,0,0,47,15,47,0,20,2,0.029,0.09,42.5,0.039,4,84.5,8,0.035,0,0,0,0,0,0.001,0.18,2.71,0.015,0,0.001,0
"Espresso coffee, not instant coffee, without sugar, ready-to-drink",120,600,180,0,0,83,14,83,0,35,2,0.05,0.13,80,0.05,7,115,14,0.05,0,0,0,0.01,0,0.001,0.18,5.21,0.028,0,0.001,0
"Decaffeinated instant coffee, without sugar, ready-to-drink",120,400,2,0,0,1,0,1,0,10,4,0.01,0.04,4,0.012,3,36,4,0.01,0,0,0,0,0,0,0.014,0.28,0.001,0,0,0
"Instant coffee, without sugar, ready-to-drink",110,300,4,0,0,2,0,2,0,10,4,0.006,0.04,4,0.015,3,30,4,0.008,0,0,0,0,0,0,0.001,0.24,0.001,0,0,0
"Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)",3780,9500,1420,0,1700,850,480,50,7,120,97.1,0.11,0.87,27.5,0.1,0,239,46.2,0.5,0.0153,0,0.000083,0.046,0,0.037,0.16,0.15,0.34,0.03,0.0032,0.000085
