name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Celeriac in remoulade sauce, prepacked",1120,4190,12800,2380,2870,1080,7730,3670,0.1,1000,28.6,0.069,0.29,12,0.11,35,315,395,0.22,0.002,0.008,0.0005,3.4,25.2,0.04,0.04,0.38,0.28,0.19,0.028,0.00008
"Prepared mixed tuna and vegetable salad, canned, drained",9150,7740,4700,3080,2700,560,1830,1760,19.2,1110,20.7,0.1,1.1,25.1,0.1,88.4,232,445,0.6,0.002,0,0.0005,1.6,2.75,0.04,0.053,4.45,0.16,0.29,0.031,0.00145
"Prepared mixed meat/fish canned, drained salad",8060,6400,5300,1900,2000,160,3270,1540,15.2,950,22,0.07,0.7,20,0.1,92,220,381,0.38,0.021,0.781,0.00044,2.04,0,0.032,0.022,4.13,0.2,0.12,0.0111,0.00123
Greek-style marinated mushrooms,2080,3950,3550,2380,2350,230,1740,1430,0.11,1260,22.6,0.17,0.58,13.8,0.13,52.2,292,500,0.39,0,0.747,0,1.47,10.3,0.062,0.2,1.88,0.76,0.11,0.0273,0.000018
"Prepared potatoes salad, home-made",2680,9900,8200,0,1300,1430,2480,3740,68,1330,19,0.12,0.65,15,0.1,52,254,529,0.31,0.029,0.036,0,0,10,0.077,0.06,0.89,0.53,0.14,0.007,0
"Tabbouleh, prepacked",4290,22200,5650,3820,2270,600,3300,1270,0.1,910,19.9,0.12,0.72,27.1,0.3,66.5,207,355,0.46,0,0,0,1.68,14.5,0.09,0.04,0.83,0,0.09,0.017,0
"Potato salad, piémontaise-style, prepacked",4110,7980,9280,1170,1510,1150,4060,1800,34.2,970,0,0,0,0,0,0,195,384,0,0,0,0.0005,2.07,7.62,0,0,0,0,0,0,0
Prepared rice salad,5130,16100,4350,1000,1700,530,2230,0,6.5,1100,23.3,0.1,0.43,13.1,0.1,66.6,143,431,0.3,0.002,0.034,0.0005,1.63,4.48,0.058,0.045,2.65,0.14,0.13,0.0335,0.00043
"Prepared pasta salad, vegetarian",5700,12900,8100,2300,1700,2370,1460,3920,6,580,14,0.06,0.6,11,0.2,37,84,51,0.4,0.007,1.18,0,1.95,21,0.04,0.02,0.4,0,0.09,0.016,0
"Salad, vegetable, without dressing (average)",1030,2500,530,2010,1510,95,200,130,0.059,37,27.3,0.055,0.46,13.6,0.18,29.4,257,14.8,0.19,0.000012,1.77,0.000074,0.47,14.6,0.044,0.041,0.53,0.22,0.087,0.0393,0
"Prepared pasta salad, with vegetable, meat or fish",5190,14000,9940,2160,1980,1740,5850,1910,11,950,18.5,0.091,0.69,20,0.15,66.2,177,378,0.52,0.016,0.494,0.00023,0.55,5.56,0.069,0.053,1.93,0.24,0.13,0.0145,0.00023
"Caesar's salad (salad, chicken, croûtons, sauce)",8130,4880,10000,1710,2000,2360,4990,2090,40.7,750,100,0.11,0.5,19,0.15,150,300,301,0.69,0.0279,0.627,0.00025,2.24,1.11,0.096,0.068,2.29,0.47,0.094,0.0293,0.00048
"Coleslaw, w sauce, prepacked",940,5780,8100,4720,3000,630,4830,2200,0,880,39,0.03,1.3,9.3,0.26,29,210,353,0.27,0,1.34,0.00025,2.21,21.6,0.026,0.01,0.1,0.21,0.093,0.0146,0
"Tabbouleh with chicken, prepacked",6400,20600,7450,2480,2020,860,3780,1750,8.24,1050,18,0.1,0.8,24,0.32,100,190,424,0.65,0.021,0.135,0.00025,1.48,0.5,0.14,0.045,1.16,0.4,0.096,0.0965,0.0001
"Soup, lentils, prepacked, to be reheated",3280,6600,1120,700,1800,450,520,130,3,360,25,0.17,1.07,19,0.24,74,144,143,0.61,0,0.43,0,0,1.7,0.07,0.045,0.55,0.14,0.09,0.02,0.00012
"Soup, chicken and vegetables, prepacked, to be reheated",3090,2600,800,1200,400,300,0,0,0,1750,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,1.9,0,0,0,0.00011
"Soup, mixed vegetables, prepacked, to be reheated",760,5050,1560,1720,1100,550,500,110,3.7,690,14,0.02,0.14,5.3,0.04,19,110,275,0.11,0.021,1.71,0,0.62,5.75,0.29,0.062,0.31,0.33,0.16,0.0398,0.000052
"Soup, fish and/or crustacean, prepacked, to be reheated",3450,2880,1790,900,690,580,930,250,30,860,130,0.07,0.61,11,0.05,80,110,343,0.25,0.0598,0.446,0.0002,0.32,0.5,0.03,0.039,0.63,0.18,0.032,0.005,0.00135
"Soup, mixed vegetables, dehydrated and reconstituted",860,4430,1220,1070,1160,390,450,91,2.12,690,21,0.03,0.19,7,0.05,12.5,60,276,0.12,0.021,0.261,0,0.19,3.28,0.05,0.24,0.13,0.12,0.044,0.0084,0.000029
"Soup, leek and potato, prepacked, to be reheated",790,4460,1510,810,1280,600,530,270,4.73,730,16,0.02,0.17,5.6,0.04,16,94,290,0.13,0.021,0.12,0,0.28,7.95,0.01,0.03,0.23,0.14,0.23,0.0293,0.000045
"Soup, chicken and vermicelli, prepacked, to be reheated",1300,3860,1000,770,560,490,290,180,5,820,7.96,0.069,0.14,7.93,0.057,17,30.5,326,0.1,0.001,0.119,0,0.03,0,0.055,0.045,0.54,0.074,0.02,0.002,0.00002
"Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted",440,100,400,0,0,200,90,50,0,1080,1,0,0.1,2,0.01,1,15,430,0,0,0,0,0,0,0.06,0.01,0,0.02,0.01,0.012,0.00005
"Soup, onions, prepacked, to be reheated",1350,4930,1400,1500,1340,550,0,260,0,790,12,0.054,0.27,1,0.098,4,28,315,0.25,0.001,0.001,0,0.11,0.5,0.013,0.01,0.24,0,0.02,0.006,0
"Soup, mushrooms, prepacked, to be reheated",810,4090,3070,910,520,1580,400,960,3.3,780,7,0.016,0.09,2,0.018,12,62,312,0.06,0.0055,0,0.0001,0.24,0,0.006,0.008,0.17,0.072,0.007,0.001,0
"Soup, carrots, prepacked, to be reheated",610,3890,1410,1820,1220,960,360,29,0,650,15,0,0.3,7,0,20,140,259,0,0.004,3.5,0,0,11,0.05,0,0.65,0,0.08,0.009,0
"Soup, tomatoes, prepacked, to be reheated",740,6270,990,2950,880,360,290,300,2.9,640,11,0.03,0.14,5.9,0.04,15,130,259,0.08,0.021,1.68,0.0006,0.69,6.4,0.01,0.056,0.58,0.2,0.2,0.0238,0.00001
"Soup, chorba frik, w meat and frik",3750,5400,2500,900,1900,0,0,0,11,840,19,0.07,0.97,17,0.31,54,157,337,0.84,0.0044,0.172,0.00002,0.6,3.2,0.03,0.04,0.96,0.18,0.07,0.016,0.00011
"Soup, minestrone, prepacked, to be reheated",1200,5600,2000,1700,1800,600,340,290,1.5,750,33.3,0.11,0.56,12.5,0.11,34.5,106,300,0.19,0,0.885,0,0.67,1.25,0.023,0.034,0.44,0.22,0.071,0.01,0
"Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted",1200,5200,350,1200,800,200,230,60,1,640,19,0.1,0.4,14,0.1,24,132,256,0.19,0,0.9,0,0.2,7,0,0,0,0,0.07,0.018,0
"Soup, fish and/or crustacean, dehydrated and reconstituted",910,5090,500,1060,210,140,0,0,0,630,0,0,0,0,0,0,0.01,253,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, Asian-style with noodles, dehydrated and reconstituted",970,5250,440,1210,490,170,0,0,0,840,0,0,0,0,0,0,37.8,334,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, Moroccan, dehydrated and reconstituted",1200,5770,550,1490,720,230,0,0,0,800,0,0,0,0,0,0,80.5,318,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, leek and potato, dehydrated and reconstituted",630,4840,410,910,280,200,0,0,0,720,0,0,0,0,0,0.013,0.023,292,0,0.01,0.09,0,0,30,0.07,0,0.8,0.27,0,0,0
"Soup, chicken and vegetables, dehydrated and reconstituted",990,4580,440,550,510,170,0,0,0,730,0,0,0,0,0,0,0,292,0,0,0,0,0,3,0,0,0,0,0.03,0.008,0
"Broth, stock or bouillon, beef, dehydrated and reconstituted",600,1330,150,330,0,57,68,7.2,0,740,5.25,0.041,0.15,2,0.027,0.01,0.01,290,0.048,0,0,0,0.01,0,0.0029,0.015,0.55,0.016,0.0083,0.00175,0.000065
"Soup, asparagus, dehydrated and reconstituted",600,5140,1310,990,280,730,0,0,0,760,0,0,0,0,0,0.015,0.035,303,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"Soup, tomatoes and vermicelli, prepacked, to be reheated",1100,5870,800,3430,1300,500,0,0,0,770,0,0,0,0,0,0,0,307,0,0,0,0,0,20,0,0,0,0,0,0,0
"Soup, cereals and vegetables, dehydrated and reconstituted",1400,6800,1400,1200,1200,800,0,0,0,780,12.5,0,0.29,9.35,0,0,94,312,0,0,0,0,0,3.84,0.04,0,0.47,0,0.07,0.0168,0
"Soup, tomatoes, dehydrated and reconstituted",760,5790,970,2440,640,320,410,160,2.02,690,11,0.03,0.14,5,0.04,10,65,278,0.1,0.021,0.147,0,0.25,0.5,0.02,0.017,0.46,0.064,0.027,0.00685,0.00014
"Soup, mushrooms, dehydrated and reconstituted",650,4370,1790,630,820,730,600,150,0.87,790,10,0.02,0.02,2.5,0.03,9.51,48,311,0.07,0.021,0.0147,0.00025,0.24,0.5,0.03,0.034,0.37,0.16,0.033,0.00825,0.000028
"Soup, onions, dehydrated and reconstituted",580,4370,400,1300,310,230,0,0,0,790,20,0.043,0,5.26,0.043,0.01,56.7,318,0.083,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, pumpkin, prepacked, to be reheated",670,4130,1560,2370,1310,880,560,69,4.95,650,15,0.03,0.14,5.8,0.04,17,130,256,0.13,0.021,2.53,0,0.51,0.5,0.018,0.014,0.1,0.13,0.065,0.00935,0.000036
"Broth, stock or bouillon, poultry, dehydrated and reconstituted",600,500,130,180,0.1,83,22,18,0,780,5,0,0.05,1.5,0.01,0,10,312,0.01,0.001,0,0,0,0,0.005,0.01,0.1,0.02,0,0.001,0.000055
"Broth, stock or bouillon, vegetables, dehydrated and reconstituted",340,650,160,190,0,140,11,6.7,0,610,1,0,0.1,2,0.01,0,8,240,0,0,0.002,0,0,0,0.11,0.01,0.1,0,0,0.001,0
"Soup, tomato and vermicelli, dehydrated and reconstituted",630,4210,180,720,320,99,0,0,0.7,680,9.1,0.05,0.18,4.8,0.06,0,62,271,0.08,0.021,0.162,0.00025,0.34,0.5,0.02,0.04,1.44,1.04,0.018,0.011,0
"Soup, chicken and vermicelli, dehydrated and reconstituted",750,3870,250,310,260,81,0,0,0.72,680,7.2,0.02,0.1,3.5,0.05,14,36,272,0.1,0.021,0.0207,0,0.08,0.5,0.28,0.01,0.1,0.041,0.025,0,0.000026
"Soup, pistou (basil, garlic and olive oil), prepacked, to be reheated",2000,4100,500,250,1500,200,200,100,0,650,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, pumpkin, dehydrated and reconstituted",790,5610,1240,2640,760,610,0,0,0,700,0,0,0,0,0,0.01,0.01,279,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, Asian-style with noodles, prepacked, to be reheated",700,3400,500,500,700,200,0,0,0,900,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, minestrone, dehydrated and reconstituted",1140,5530,340,1070,790,20,0,0,0,700,0,0,0,0,0,0,122,281,0,0,0,0,0,5,0,0,0,0,0.06,0.018,0
"Soup, watercress, dehydrated and reconstituted",420,3950,800,310,190,420,0,0,0,770,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, watercress, prepacked, to be reheated",1000,5400,800,900,600,500,0,0,0,780,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0.25,0.03,0
"Soup, vegetables with cheese, prepacked, to be reheated",1340,5090,2510,1620,930,1580,0,0,0,670,0,0,0,0,0,0,0,268,0,0,0,0,0,11,0,0,0,0,0.3,0.03,0
"Soup, green vegetables, prepacked, to be reheated",1000,3840,1320,810,1050,640,510,160,3.52,700,24,0.02,0.27,7.1,0.06,24,120,280,0.18,0.021,0.177,0.00152,0.28,9,0.17,0.042,0.53,0.22,0.25,0.0275,0
"Soup, green vegetables, dehydrated and reconstituted",720,5310,1070,1070,540,710,230,75,0.7,660,12,0.02,0.11,3,0.03,0.01,0.01,264,0.09,0.021,0.0105,0.00025,0.18,6.15,0.05,0.014,0.15,0.072,0.033,0.0076,0
"Soup, split peas, prepacked, to be reheated",2680,6250,1980,1020,1600,670,0,0,0,700,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soup, gazpacho, cold",650,3380,1620,2320,1040,270,0,160,0,750,11,0.04,0.11,8.9,0.06,25,210,293,0.1,0,0.291,0.00025,1.31,1.98,0.01,0.02,0.56,0.093,0.041,0.005,0
"Soup, asparagus, prepacked, to be reheated",4600,4700,10400,2900,1000,5100,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soup (average),1220,4510,1370,1620,1030,580,540,180,7.22,750,26.8,0.039,0.26,7.03,0.061,24,108,296,0.17,0.0148,1.13,0,0.48,5.19,0.049,0.036,0.47,0.22,0.11,0.0159,0.00022
Miso soup,1380,2180,500,690,500,9.8,9.8,9.8,0,1100,18,0.06,0.19,6.9,0.08,19,49,438,0.11,0,0,0.00025,0.26,0,0.015,0.01,0.1,0.068,0.01,0.0165,0.00198
Caen-style tripe,20400,510,3680,0,0,1290,1120,180,119,1060,23,0,1.1,6.4,0,0,42.5,423,0.64,0,0,0,0.47,0,0.02,0,0.37,0.42,0.023,0,0.0012
"Caen-style tripe, prepacked",18400,700,3620,500,1250,2100,0,0,0,1030,23.6,0,0.9,6.6,0,0,34.6,421,2.1,0,0,0,0,0,0,0,0,0,0,0,0
Provencal-type tripe (with tomato),15700,600,3200,400,0,1640,1280,140,0,1230,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0
Veal stew in white sauce,15400,3100,4000,300,800,2030,1360,260,56.6,740,15,0.07,0.92,12,0.04,110,190,295,3.2,0.021,0.736,0.00025,0.37,0.5,0.062,0.047,1.77,0.33,0.074,0.0233,0.00159
Burgundy-style beef stew,8930,6740,3300,1570,1250,880,1180,440,64,880,16.9,0.053,1.75,13.3,0.054,215,230,354,2.91,0.01,0,0.0005,0.6,0.8,0.07,0.1,2.3,0.3,0.23,0.011,0.0006
"Duck with sauce (green pepper sauce, hunter-style sauce,etc.)",9550,10200,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbit with mustard sauce,14900,500,5000,500,800,2100,0,0,0,1200,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0
Cockerel in red wine sauce,13000,4000,7000,1000,900,1000,3870,1750,65,1050,14,0.03,1.3,16,0.14,128,145,420,0.21,0,0,0.00004,0.48,1.5,0.07,0.19,3.7,0.74,0.17,0.031,0.0014
Veal olive or veal paupiette,14700,8390,12800,2240,480,5140,4000,1470,71.7,1030,30.2,0.12,1,19.3,0.13,152,302,367,1.35,0.0279,1.16,0.0001,0.68,1.29,0.098,0.18,3.62,0.72,0.21,0.0186,0.00062
Poultry paupiette,18900,7280,5830,0,1050,1810,2370,1120,64.2,840,30.1,0.11,1.06,22.2,0.13,146,285,251,1.03,0.0302,1.16,0.00019,0.7,1.67,0.095,0.14,4.53,0.66,0.28,0.0175,0.00035
Meat in sauce (average),11200,4750,4550,1340,1050,1770,1470,620,53.5,880,16.3,0.055,1.16,13.7,0.067,149,198,352,2.46,0.0111,0,0.00025,0.73,1.19,0.064,0.077,2.49,0.4,0.17,0.0151,0.00076
Chicken with curry and coconut milk sauce,10600,3150,6900,1490,1100,3030,2060,1370,37.3,1070,18,0.05,0.51,18,0.12,110,210,427,0.44,0.0213,0.412,0.00025,1.65,2.51,0.032,0.01,4.08,0.62,0.17,0.0175,0.00015
"Molokhia, jute and beef-based meal",10600,680,14700,680,4700,0,0,0,23,930,51.3,0.04,2.4,30.6,0.05,88,228,373,2,0,0.143,0,5.1,1.5,0.03,0.14,1.36,0.32,0.12,0.02,0.00066
Devilled pork shoulder in mustard sauce,13500,2080,6070,1380,1450,2200,0,0,0,2250,0,0,1,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef tongue with Madeira wine sauce,9500,4500,13500,2500,1000,6000,0,0,0,1080,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork with caramel sauce,10000,11400,5400,7900,700,1440,2200,1270,29,1340,9.9,0.04,0.49,12,0.11,94,160,536,1.1,0.021,0.0645,0.00025,0.62,0.5,0.19,0.034,1.93,0.31,0.094,0.0091,0.00027
"Meat balls, beef, with tomato sauce",9000,5500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veal paupiette, cooked in oven",22000,480,20500,300,900,8190,8770,2510,89.5,1070,24,0.07,0.94,18,0.03,180,260,428,2.3,0.021,0,0.00025,0.08,1.62,0.16,0.071,3.83,0.59,0.22,0.0119,0.00161
"Beef carpaccio, w marinade",15200,2370,23000,300,330,7890,9790,3840,56.2,1100,112,0.1,1.89,23.1,0.089,186,248,413,2.88,0.0162,0.0983,0.00038,2.63,6.74,0.085,0.17,2.11,0.26,0.27,0.0119,0.00208
"Yakitori (grilled meat on skewers, Japanese-style, with sauce)",26000,9280,3300,6600,600,1200,1180,780,86.6,1190,9.8,0.06,0.61,31,0.15,220,340,475,1.5,0.021,0.0105,0.00025,0.5,0,0.09,0.042,7.69,1.36,0.25,0.0318,0.00041
Shepherd's pie or cottage pie with meat,5990,9390,8220,1470,1430,4700,2750,410,20,830,59.6,0.079,0.71,17.5,0.087,45.5,184,322,1.2,0.0459,0,0.0001,0.2,0.65,0.02,0.07,0,0,0.08,0.00571,0.00042
Couscous w mutton,8310,12200,7200,1380,1300,0,0,0,17.5,810,31.6,0.1,1.24,23.2,0.19,95.4,187,322,1.22,0,0.724,0.00014,0.4,5,0.075,0.075,1.7,0.3,0.11,0.018,0.0005
"Couscous with meat or chicken, light",5900,11500,1900,2100,2000,400,750,590,16,700,22,0,0.78,17,0.16,88,148,300,0,0.034,0.779,0.00004,0.97,7,0.07,0.07,2,0.3,0.13,0.018,0.00004
"Pre-fried potatoes, pan-fried, lardoons or chicken, and other, without green vegetables",3200,16200,9600,1700,2100,2900,3670,2640,10.5,600,26,0.08,0.49,20,0.1,88,390,260,0.45,0.021,0.0226,0.00025,1.49,3.04,0.086,0.056,1.28,0.41,0.15,0.0238,0.00015
Couscous royal (with different meats),7690,14000,4530,1570,2100,1540,2140,600,20,880,25.2,0.098,0.93,18.8,0.21,72.3,179,345,1.02,0.0106,0.7,0,0.4,1.69,0.07,0.09,1.9,0.3,0.15,0.0172,0.00028
Couscous w chicken,7500,15600,3850,2870,1470,1170,1610,860,26.6,790,18.4,0,0.86,18.4,0,69,153,307,0,0.014,0.7,0.00001,0.48,4.05,0.08,0.09,1.9,0.3,0.14,0.0191,0.00013
Couscous w meat,7590,12500,4730,1970,2530,1240,1540,630,0,780,25.2,0.098,0,18.8,0.21,0,179,313,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Shepherd's pie with duck,6820,8510,9060,1960,1550,4500,3560,650,0,810,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shepherd's pie with duck, cooked",7000,10500,10200,1700,1200,4700,3890,1020,37.9,740,39,0.07,0.68,14,0.06,74,290,296,0.89,0.0377,0,0.00025,0.08,0.5,0.08,0.071,1.4,0.55,0.11,0.0459,0.00061
"White bean stew, canned",8060,9410,5770,1060,3550,2070,2630,800,21.3,970,45.7,0.14,1.23,34.8,0.22,107,289,388,0.88,0.0035,0,0.0005,0.18,2.94,0.083,0.057,1.25,0.16,0.091,0.03,0.00012
"Sauerkraut, with garnish",5060,2800,8060,660,2710,3220,3450,960,34.7,1390,27.1,0.076,0.83,18,0.067,60.6,97.5,552,0.84,0,0,0,0.25,9.09,0.14,0.11,0.68,0,0.02,0.01,0
Salt-cured pork belly with lentils,8240,8890,4870,1510,2830,1890,1970,600,27,980,20,0.2,1.8,19.4,0.3,145,167,384,1.2,0.002,0.28,0.0005,0.39,0.5,0.24,0.075,1.5,0.23,0.14,0.0229,0.00013
Boiled meat with vegetables,10900,3200,2020,1500,1500,820,970,50,28.8,320,23.5,0.15,1.69,16.2,0.069,0,189,130,3.48,0,0.718,0,0,0,0,0,0,0,0,0.0046,0
Beef stew with carrots,13200,3300,3150,600,1100,1480,1180,350,47,580,15.9,0.1,0.9,11.3,0.1,95,119,231,3.5,0,0.456,0,0.4,2,0.07,0.16,1.77,0.44,0.16,0.0095,0.0008
"Pork sausage stew with cabbage, carrots and potatoes",6480,4850,4100,1130,2100,1490,1910,540,19,670,33,0.09,0.79,13.6,0.15,72,229,278,0.6,0,0.587,0,0.1,9,0.17,0.07,1.26,0.31,0.16,0.0199,0.0002
"White bean stew, with pork, canned",8300,8600,6300,1800,4000,2200,0,0,0,1100,0,0,0,0,0,0,293,500,0,0,0,0,0,0,0,0,0,0,0,0,0
"White bean stew, with duck or goose, canned",10500,10100,7860,1090,3860,2430,2610,880,0,1050,0,0,0,0,0,0,307,416,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuffed tomatoes,5840,2000,9670,880,2100,3240,4160,1080,42,700,18.4,0.066,0.87,12.8,0.12,62,199,280,0.75,0.01,0,0.0001,1.1,7,0.06,0.06,0.9,0,0.07,0,0
Stuffed cabbage,5300,2000,6600,2000,3130,0,0,0,0,870,145,0.23,0,41.4,0.65,0,0,350,0.8,0,0,0,0,0,0,0,0,0,0,0,0
Chili con carne,7130,13000,3350,2580,3560,1130,1390,320,14.6,930,32.8,0.15,1.6,27.3,0.2,78.5,282,371,1.2,0.002,0.192,0.0005,0.88,2.25,0.088,0.068,1.25,0.16,0.15,0.044,0.00035
Moussaka,5820,5160,10800,3010,2840,3370,3250,2270,31,970,16,0.06,0.62,22,0.06,150,576,393,0.47,0.037,0.15,0.0002,0.46,3.1,0.06,0.11,1.3,0.33,0.09,0.01,0.0006
Stewed lamb garnished with potatoes and other vegetables,9130,4120,5840,1110,1570,2540,2180,990,39.6,490,25.2,0.089,1.31,17.8,0.11,106,242,171,1.52,0.0203,0.846,0.000037,0.83,5.52,0.1,0.14,3.11,0.39,0.14,0.0219,0.00119
Mutton tagine,12800,4500,6830,2400,1000,2730,3250,520,57.8,990,5.1,0.1,1.6,14.7,0.1,102,211,394,3,0.004,0.7,0.0005,0.71,0.5,0.07,0.16,2.95,0.23,0.19,0.024,0.00165
Osso buco,12500,3500,4060,1100,600,800,2620,390,26,1470,13.7,0.057,0.6,18.4,0.066,97.4,234,586,1.26,0,0.481,0,0.53,2.4,0.083,0.12,3.48,0.25,0.19,0.011,0.00038
"Chicken, Basque style",9300,2500,6400,2000,1300,1700,0,0,0,890,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken tagine,7540,14400,3700,6800,3000,400,2140,1000,27.7,1170,18,0.06,0.45,17,0.13,82,220,466,0.46,0.021,0.152,0.00025,1.27,0.5,0.14,0.037,2.3,0.39,0.096,0.0302,0.000075
Chop suey (pork or chicken),5000,7800,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuffed vegetables (excluding tomato),5010,3600,5280,2580,1310,1330,2610,1100,31.7,770,30.2,0.096,0.52,15.2,0.1,90.2,185,301,0.56,0.00958,0.0932,0.000085,0.55,4.72,0.11,0.13,1.28,0.41,0.11,0.0224,0.00012
"Mussels, in a shallot and white wine broth",10300,8860,2240,1050,530,990,590,610,0,690,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mussels, filled (fat, parsley and garlic…)",9560,4430,24800,300,1260,16600,5570,950,88.5,1080,40,0.11,2.5,45,0.16,180,180,430,2,0.209,0,0.00025,1.79,0.5,0.015,0.14,1.09,0.34,0.063,0.0542,0.0193
"Fish or seafood au gratin, intended to be cook",7190,3130,7130,1290,1070,4580,1390,530,0,1000,58.2,0.05,0.41,13.8,0,37.1,223,390,0.55,0,0,0,0,0,0,0,0,0,0,0,0
"Fish and shrimp 'au gratin', previously frozen",6690,5280,7500,1600,700,4820,1810,260,35.4,920,52,0.03,0.28,24,0.05,120,180,366,0.47,0.0587,0.225,0.00025,0.63,0.5,0.015,0.043,0.1,0.28,0.022,0.0194,0.00095
Salmon with sorrel,8360,11000,7650,580,730,3190,2330,1100,0,690,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish w bordelaise sauce,14800,4300,10400,600,1000,2300,2920,2880,51,1280,21.1,1,1.2,17.5,1,162,317,513,1,0.002,0,0.0009,2.6,9.7,0.05,0.05,9.2,0.18,0.05,0.005,0.0022
White fish with Provencal-style sauce (tomato sauce),9310,890,2300,890,2400,420,1140,630,28,700,16.1,0,1,24.2,0,99,348,280,0,0.002,0.449,0.0002,1.1,0,0.05,0.07,1.2,0.25,0.05,0.005,0.0011
White fish with Florentine-style sauce (spinach sauce),11400,2900,4350,1950,2000,2750,0,0,0,560,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0
"White fish with shallots, mussels and white wine sauce",11500,2200,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White fish with mustard sauce,9200,5400,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White fish with Parisian-style sauce (mushrooms sauce),9160,1150,3250,860,1000,1560,720,830,0,550,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0
White fish with tarragon sauce,8800,4200,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White fish with sorrel sauce,11800,1470,5500,1470,1000,3310,1320,310,45.6,880,40,0.03,0.24,27,0.04,130,260,350,0.33,0.0388,0,0.0005,1.1,0.5,0.075,0.06,0.8,0.2,0.058,0.0188,0.00187
Stuffed salmon,18800,400,16200,400,2400,3800,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish on skewer,18000,940,5730,730,290,890,3240,840,43.1,480,25.9,0.041,0.65,28.7,0.049,196,342,192,0.48,0.0358,0.0598,0.00125,1.06,5.66,0.067,0.063,3.18,0.33,0.25,0.012,0.00238
Shrimps on skewer,17100,1050,2770,850,340,290,1590,340,116,960,82.3,0.01,1.53,23.7,0.14,142,117,384,0.98,0.00722,0.0715,0.00036,2.43,7.66,0.037,0.035,1.73,0.23,0.11,0.0132,0.00097
"Fish, in sauce, frozen",13300,1670,7050,1300,1250,2840,1120,200,28,820,18.2,0.051,0.4,19.7,0.042,164,331,327,0.26,0.019,0,0.00113,2.31,0,0.086,0.086,1.77,0.25,0.17,0.0345,0.00153
"Fish, cooked (average)",23400,0,5480,0,0,1180,1780,1520,57.6,540,29.3,0.066,0.68,29.9,0.036,226,345,215,0.6,0.0105,0.00084,0.00354,0.93,0.95,0.11,0.12,5.21,0.59,0.33,0.018,0.00376
